instanceId,iteration,projectId,dueDateDays,needsVolt,samples,completionDay,lateness
2_1_3,3,P37,45,false,3,51,6
2_1_3,3,P39,52,false,6,55,3
2_1_3,3,P41,43,false,3,50,7
2_1_3,3,P40,57,false,4,70,13
2_1_3,3,P43,51,false,6,55,4
2_1_3,3,P42,47,false,3,55,8
2_1_3,3,P45,44,false,2,65,21
2_1_3,3,P44,55,false,5,70,15
2_1_3,3,P47,53,false,4,60,7
2_1_3,3,P46,48,true,5,45,0
2_1_3,3,P49,46,true,3,55,9
2_1_3,3,P48,56,true,5,71,15
2_1_3,3,P1,42,false,3,55,13
2_1_3,3,P2,46,true,3,50,4
2_1_3,3,P3,47,true,4,46,0
2_1_3,3,P4,44,false,4,40,0
2_1_3,3,P5,50,false,6,55,5
2_1_3,3,P6,53,true,5,61,8
2_1_3,3,P7,43,true,4,46,3
2_1_3,3,P8,48,false,5,45,0
2_1_3,3,P9,52,false,6,55,3
2_1_3,3,P50,57,true,5,75,18
2_1_3,3,P10,55,false,6,70,15
2_1_3,3,P12,50,true,4,61,11
2_1_3,3,P11,46,true,3,50,4
2_1_3,3,P14,45,true,2,70,25
2_1_3,3,P13,54,true,4,70,16
2_1_3,3,P16,53,true,4,65,12
2_1_3,3,P15,49,false,6,55,6
2_1_3,3,P18,46,true,3,55,9
2_1_3,3,P17,56,false,5,70,14
2_1_3,3,P19,51,false,5,60,9
3_1_1,4,P21,43,false,3,55,12
3_1_1,4,P20,56,true,6,70,14
3_1_1,4,P23,53,false,5,60,7
3_1_1,4,P22,47,false,3,51,4
3_1_1,4,P25,44,false,3,55,11
3_1_1,4,P24,57,false,4,70,13
3_1_1,4,P27,53,false,5,55,2
3_1_1,4,P26,48,false,6,45,0
3_1_1,4,P29,46,true,3,51,5
3_1_1,4,P28,55,false,4,70,15
3_1_1,4,P30,50,false,5,55,5
3_1_1,4,P32,56,false,4,70,14
3_1_1,4,P31,54,true,5,75,21
3_1_1,4,P34,46,false,3,55,9
3_1_1,4,P33,43,true,2,70,27
3_1_1,4,P36,56,false,5,70,14
3_1_1,4,P35,50,true,4,61,11
3_1_1,4,P38,49,false,3,70,21
3_1_1,4,P37,45,false,3,50,5
3_1_1,4,P39,52,false,4,55,3
3_1_1,4,P41,43,false,3,55,12
3_1_1,4,P40,57,false,6,70,13
3_1_1,4,P43,51,false,5,55,4
3_1_1,4,P42,47,false,3,50,3
3_1_1,4,P45,44,true,3,50,6
3_1_1,4,P44,55,false,5,75,20
3_1_1,4,P47,53,false,5,60,7
3_1_1,4,P46,48,false,5,45,0
3_1_1,4,P49,46,false,2,70,24
